iter	Passed	Remaining
468	716	811
469	718	809
470	719	807
471	720	805
472	721	803
473	722	801
474	723	799
475	724	797
476	726	796
477	727	794
478	728	792
479	729	790
480	731	788
481	732	786
482	733	785
483	734	783
484	735	781
485	736	779
486	738	777
487	739	775
488	740	773
489	741	772
490	743	770
491	744	768
492	745	766
493	746	764
494	747	763
495	748	761
496	750	759
497	751	757
498	752	755
499	753	753
500	754	751
501	755	749
502	757	748
503	758	746
504	759	744
505	760	742
506	761	740
507	762	738
508	764	737
509	765	735
510	766	733
511	767	731
512	768	730
513	770	728
514	771	726
515	772	724
516	773	722
517	775	721
518	776	719
519	777	717
520	778	715
521	779	713
522	780	712
523	781	710
524	783	708
525	784	706
526	785	704
527	786	703
528	787	701
529	789	699
530	790	698
531	791	696
532	792	694
533	793	692
534	795	691
535	796	689
536	797	687
537	798	685
538	800	684
539	801	682
540	802	681
541	803	679
542	805	677
543	806	675
544	807	674
545	808	672
546	809	670
547	810	668
548	812	667
549	813	665
550	814	663
551	815	662
552	817	660
553	818	658
554	819	657
555	820	655
556	821	653
557	822	651
558	824	650
559	825	648
560	826	646
561	827	644
562	828	643
563	830	641
564	831	640
565	833	638
566	834	637
567	835	635
568	837	634
569	838	632
570	839	630
571	840	629
572	842	627
573	843	625
574	844	624
575	845	622
576	847	621
577	848	619
578	849	617
579	851	616
580	852	614
581	853	613
582	854	611
583	855	609
584	857	608
585	858	606
586	859	604
587	861	603
588	862	601
589	863	600
590	865	598
591	866	597
592	868	595
593	869	594
594	870	592
595	871	590
596	873	589
597	874	587
598	876	586
599	877	584
600	878	583
601	879	581
602	881	580
603	882	578
604	883	576
605	884	575
606	886	573
607	887	571
608	888	570
609	889	568
610	891	567
611	892	565
612	893	564
613	895	562
614	896	561
615	897	559
616	898	557
617	899	556
618	901	554
619	902	553
620	903	551
621	905	550
622	906	548
623	907	547
624	909	545
625	910	543
626	911	542
627	912	540
628	914	539
629	915	537
630	916	535
631	917	534
632	919	533
633	920	531
634	922	530
635	923	528
636	924	527
637	926	525
638	927	523
639	928	522
640	929	520
641	931	519
642	932	517
643	933	516
644	935	514
645	936	513
646	937	511
647	939	510
648	940	508
649	941	507
650	942	505
651	944	503
652	945	502
653	946	500
654	948	499
655	949	498
656	951	496
657	952	495
658	953	493
659	954	491
660	956	490
661	957	488
662	958	487
663	959	485
664	961	484
665	962	482
666	963	481
667	965	479
668	966	478
669	967	476
670	968	475
671	970	473
672	971	472
673	972	470
674	974	468
675	975	467
676	976	466
677	978	464
678	979	462
679	980	461
680	981	459
681	983	458
682	984	456
683	985	455
684	986	453
685	988	452
686	989	450
687	990	449
688	992	447
689	993	446
690	994	444
691	996	443
692	997	441
693	999	440
694	1000	439
695	1001	437
696	1003	436
697	1004	434
698	1005	433
699	1007	431
700	1008	430
701	1010	428
702	1011	427
703	1012	425
704	1014	424
705	1015	422
706	1016	421
707	1017	419
708	1019	418
709	1020	416
710	1022	415
711	1023	414
712	1025	412
713	1026	411
714	1028	409
715	1029	408
716	1030	406
717	1032	405
718	1033	404
719	1035	402
720	1036	401
721	1037	399
722	1038	398
723	1040	396
724	1041	395
725	1042	393
726	1043	391
727	1045	390
728	1046	388
729	1047	387
730	1049	386
731	1050	384
732	1051	383
733	1052	381
734	1054	380
735	1055	378
736	1056	376
737	1057	375
738	1059	374
739	1060	372
740	1061	371
741	1062	369
742	1064	368
743	1065	366
744	1067	365
745	1068	363
746	1069	362
747	1071	360
748	1072	359
749	1073	357
750	1074	356
751	1076	354
752	1077	353
753	1078	352
754	1080	350
755	1081	349
756	1082	347
757	1083	346
758	1085	344
759	1086	343
760	1087	341
761	1088	340
762	1090	338
763	1091	337
764	1092	335
765	1094	334
766	1095	332
767	1096	331
768	1097	329
769	1098	328
770	1100	326
771	1101	325
772	1102	323
773	1103	322
774	1104	320
775	1106	319
776	1107	317
777	1108	316
778	1110	314
779	1111	313
780	1112	311
781	1113	310
782	1114	308
783	1115	307
784	1116	305
785	1118	304
786	1119	302
787	1120	301
788	1121	299
789	1122	298
790	1124	297
791	1125	295
792	1126	294
793	1127	292
794	1129	291
795	1130	289
796	1131	288
797	1132	286
798	1134	285
799	1135	283
800	1136	282
801	1137	280
802	1139	279
803	1140	277
804	1141	276
805	1142	274
806	1143	273
807	1144	272
808	1145	270
809	1147	269
810	1148	267
811	1149	266
812	1151	264
813	1152	263
814	1153	261
815	1154	260
816	1155	258
817	1157	257
818	1158	255
819	1159	254
820	1160	253
821	1162	251
822	1163	250
823	1164	248
824	1165	247
825	1167	245
826	1168	244
827	1169	243
828	1171	241
829	1172	240
830	1173	238
831	1174	237
832	1176	235
833	1177	234
834	1178	232
835	1179	231
836	1180	229
837	1182	228
838	1183	227
839	1184	225
840	1185	224
841	1187	222
842	1188	221
843	1189	219
844	1190	218
845	1191	216
846	1193	215
847	1194	214
848	1195	212
849	1196	211
850	1198	209
851	1199	208
852	1200	206
853	1201	205
854	1202	203
855	1204	202
856	1205	201
857	1206	199
858	1208	198
859	1209	196
860	1210	195
861	1211	194
862	1213	192
863	1214	191
864	1215	189
865	1216	188
866	1218	186
867	1219	185
868	1220	184
869	1222	182
870	1223	181
871	1225	179
872	1226	178
873	1227	177
874	1229	175
875	1230	174
876	1231	172
877	1232	171
878	1233	169
879	1235	168
880	1236	166
881	1237	165
882	1238	164
883	1240	162
884	1241	161
885	1242	159
886	1243	158
887	1245	157
888	1246	155
889	1247	154
890	1248	152
891	1249	151
892	1251	149
893	1252	148
894	1253	147
895	1255	145
896	1256	144
897	1257	142
898	1258	141
899	1259	139
900	1261	138
901	1262	137
902	1263	135
903	1264	134
904	1265	132
905	1267	131
906	1268	130
907	1269	128
908	1270	127
909	1272	125
910	1273	124
911	1274	122
912	1275	121
913	1276	120
914	1277	118
915	1278	117
916	1279	115
917	1281	114
918	1282	113
919	1283	111
920	1284	110
921	1286	108
922	1287	107
923	1288	105
924	1289	104
925	1290	103
926	1291	101
927	1292	100
928	1293	98
929	1295	97
930	1296	96
931	1297	94
932	1298	93
933	1299	91
934	1301	90
935	1302	89
936	1303	87
937	1304	86
938	1305	84
939	1306	83
940	1307	82
941	1309	80
942	1310	79
943	1311	77
944	1312	76
945	1313	74
946	1315	73
947	1316	72
948	1317	70
949	1318	69
950	1319	67
951	1320	66
952	1321	65
953	1322	63
954	1324	62
955	1325	60
956	1326	59
957	1327	58
958	1328	56
959	1329	55
960	1331	54
961	1332	52
962	1333	51
963	1334	49
964	1335	48
965	1336	47
966	1337	45
967	1339	44
968	1340	42
969	1341	41
970	1343	40
971	1344	38
972	1345	37
973	1346	35
974	1347	34
975	1349	33
976	1350	31
977	1351	30
978	1352	29
979	1353	27
980	1354	26
981	1355	24
982	1357	23
983	1358	22
984	1359	20
985	1360	19
986	1361	17
987	1363	16
988	1364	15
989	1365	13
990	1366	12
991	1367	11
992	1368	9
993	1370	8
994	1371	6
995	1372	5
996	1374	4
997	1375	2
998	1376	1
999	1377	0
